holdout,policy_id,robust_score,mean_f1,mean_recall,mean_precision,valid_cluster_rate,mean_seed_jaccard
2HNX,fixed_0p4_eps7_ms3_min3_mean_score_sqrt_size,0.6185918232413952,0.3681765389082462,0.7037037037037037,0.27525252525252525,1.0,0.4215011961722488
2HNX,mcc_abs_eps5_ms3_min3_mean_score,0.022474433786783626,0.08695652173913043,0.1111111111111111,0.07142857142857142,0.3333333333333333,0.3333333333333333
2HNX,mcc_abs_eps5_ms3_min3_mean_score_sqrt_size,-0.019278482543139866,0.05333333333333334,0.2222222222222222,0.030303030303030304,0.3333333333333333,0.3333333333333333
2HNX,mcc_abs_eps6_ms3_min3_mean_score,0.022474433786783626,0.08695652173913043,0.1111111111111111,0.07142857142857142,0.3333333333333333,0.3333333333333333
2HNX,mcc_abs_eps6_ms3_min3_mean_score_sqrt_size,-0.019278482543139866,0.05333333333333334,0.2222222222222222,0.030303030303030304,0.3333333333333333,0.3333333333333333
2HNX,mcc_abs_eps7_ms3_min3_mean_score,-0.0028621933560584907,0.06666666666666667,0.3333333333333333,0.037037037037037035,0.3333333333333333,0.3333333333333333
2HNX,mcc_abs_eps7_ms3_min3_mean_score_sqrt_size,-0.0028621933560584907,0.06666666666666667,0.3333333333333333,0.037037037037037035,0.3333333333333333,0.3333333333333333
2HNX,mcc_rank_count_eps5_ms3_min3_mean_score,0.4985905967778231,0.2714641412120404,0.6296296296296297,0.22043626023026772,1.0,0.1310861423220974
2HNX,mcc_rank_count_eps5_ms3_min3_mean_score_sqrt_size,0.5271856443555551,0.22588915446058302,0.6666666666666666,0.14305530784931533,1.0,0.4837702871410737
2HNX,mcc_rank_count_eps6_ms3_min3_mean_score,0.4985905967778231,0.2714641412120404,0.6296296296296297,0.22043626023026772,1.0,0.1310861423220974
2HNX,mcc_rank_count_eps6_ms3_min3_mean_score_sqrt_size,0.5271856443555551,0.22588915446058302,0.6666666666666666,0.14305530784931533,1.0,0.4837702871410737
2HNX,mcc_rank_count_eps7_ms3_min3_mean_score,0.6248024369892873,0.29439106512277247,0.8888888888888888,0.1814814814814815,1.0,0.515009746588694
2HNX,mcc_rank_count_eps7_ms3_min3_mean_score_sqrt_size,0.6248024369892873,0.29439106512277247,0.8888888888888888,0.1814814814814815,1.0,0.515009746588694
2HNX,mcc_rank_fraction_eps5_ms3_min3_mean_score,0.6754997489243666,0.37606837606837606,0.2962962962962963,0.5277777777777778,1.0,0.2380952380952381
2HNX,mcc_rank_fraction_eps5_ms3_min3_mean_score_sqrt_size,0.6841098465617427,0.33333333333333337,0.3333333333333333,0.36666666666666664,1.0,0.5047619047619047
2HNX,mcc_rank_fraction_eps6_ms3_min3_mean_score,0.7300728391533741,0.4121794871794872,0.3333333333333333,0.5595238095238095,1.0,0.20833333333333334
2HNX,mcc_rank_fraction_eps6_ms3_min3_mean_score_sqrt_size,0.7391699419425646,0.36944444444444446,0.37037037037037035,0.3984126984126984,1.0,0.49722222222222223
2HNX,mcc_rank_fraction_eps7_ms3_min3_mean_score,0.8045843292524065,0.425,0.48148148148148145,0.4323308270676692,1.0,0.4364035087719298
2HNX,mcc_rank_fraction_eps7_ms3_min3_mean_score_sqrt_size,0.8045843292524065,0.425,0.48148148148148145,0.4323308270676692,1.0,0.4364035087719298
2HNX,mcc_rank_chain_fraction_eps5_ms3_min3_mean_score,0.6754997489243666,0.37606837606837606,0.2962962962962963,0.5277777777777778,1.0,0.2380952380952381
2HNX,mcc_rank_chain_fraction_eps5_ms3_min3_mean_score_sqrt_size,0.6841098465617427,0.33333333333333337,0.3333333333333333,0.36666666666666664,1.0,0.5047619047619047
2HNX,mcc_rank_chain_fraction_eps6_ms3_min3_mean_score,0.7300728391533741,0.4121794871794872,0.3333333333333333,0.5595238095238095,1.0,0.20833333333333334
2HNX,mcc_rank_chain_fraction_eps6_ms3_min3_mean_score_sqrt_size,0.7391699419425646,0.36944444444444446,0.37037037037037035,0.3984126984126984,1.0,0.49722222222222223
2HNX,mcc_rank_chain_fraction_eps7_ms3_min3_mean_score,0.8045843292524065,0.425,0.48148148148148145,0.4323308270676692,1.0,0.4364035087719298
2HNX,mcc_rank_chain_fraction_eps7_ms3_min3_mean_score_sqrt_size,0.8045843292524065,0.425,0.48148148148148145,0.4323308270676692,1.0,0.4364035087719298
2HNX,fixed_rank_fraction_0p06_eps5_ms3_min3_mean_score,0.7299647513021745,0.3111111111111111,0.25925925925925924,0.3888888888888889,1.0,0.8095238095238095
2HNX,fixed_rank_fraction_0p06_eps5_ms3_min3_mean_score_sqrt_size,0.7299647513021745,0.3111111111111111,0.25925925925925924,0.3888888888888889,1.0,0.8095238095238095
2HNX,fixed_rank_fraction_0p06_eps6_ms3_min3_mean_score,0.7299647513021745,0.3111111111111111,0.25925925925925924,0.3888888888888889,1.0,0.8095238095238095
2HNX,fixed_rank_fraction_0p06_eps6_ms3_min3_mean_score_sqrt_size,0.7299647513021745,0.3111111111111111,0.25925925925925924,0.3888888888888889,1.0,0.8095238095238095
2HNX,fixed_rank_fraction_0p06_eps7_ms3_min3_mean_score,0.7299647513021745,0.3111111111111111,0.25925925925925924,0.3888888888888889,1.0,0.8095238095238095
2HNX,fixed_rank_fraction_0p06_eps7_ms3_min3_mean_score_sqrt_size,0.7299647513021745,0.3111111111111111,0.25925925925925924,0.3888888888888889,1.0,0.8095238095238095
2K1V,fixed_0p4_eps5_ms3_min3_mean_score,0.20650873819585444,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
2K1V,fixed_0p4_eps5_ms3_min3_mean_score_sqrt_size,0.20650873819585444,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
2K1V,fixed_0p4_eps6_ms3_min3_mean_score,0.20650873819585444,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
2K1V,fixed_0p4_eps6_ms3_min3_mean_score_sqrt_size,0.20650873819585444,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
2K1V,fixed_0p4_eps7_ms3_min3_mean_score,0.20650873819585444,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
2K1V,fixed_0p4_eps7_ms3_min3_mean_score_sqrt_size,0.20650873819585444,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
2K1V,mcc_abs_eps5_ms3_min3_mean_score,0.0,0.0,0.0,0.0,0.0,1.0
2K1V,mcc_abs_eps5_ms3_min3_mean_score_sqrt_size,0.0,0.0,0.0,0.0,0.0,1.0
2K1V,mcc_abs_eps6_ms3_min3_mean_score,0.0,0.0,0.0,0.0,0.0,1.0
2K1V,mcc_abs_eps6_ms3_min3_mean_score_sqrt_size,0.0,0.0,0.0,0.0,0.0,1.0
2K1V,mcc_abs_eps7_ms3_min3_mean_score,0.0,0.0,0.0,0.0,0.0,1.0
2K1V,mcc_abs_eps7_ms3_min3_mean_score_sqrt_size,0.0,0.0,0.0,0.0,0.0,1.0
2K1V,mcc_rank_count_eps5_ms3_min3_mean_score,0.7719341015523637,0.32575516693163753,1.0,0.1947682298725942,1.0,0.8795066413662239
2K1V,mcc_rank_count_eps5_ms3_min3_mean_score_sqrt_size,0.7719341015523637,0.32575516693163753,1.0,0.1947682298725942,1.0,0.8795066413662239
2K1V,mcc_rank_count_eps6_ms3_min3_mean_score,0.6731776308730438,0.2846035805626599,1.0,0.16688311688311688,1.0,0.7343434343434343
2K1V,mcc_rank_count_eps6_ms3_min3_mean_score_sqrt_size,0.6731776308730438,0.2846035805626599,1.0,0.16688311688311688,1.0,0.7343434343434343
2K1V,mcc_rank_count_eps7_ms3_min3_mean_score,0.6731776308730438,0.2846035805626599,1.0,0.16688311688311688,1.0,0.7343434343434343
2K1V,mcc_rank_count_eps7_ms3_min3_mean_score_sqrt_size,0.6731776308730438,0.2846035805626599,1.0,0.16688311688311688,1.0,0.7343434343434343
2K1V,mcc_rank_fraction_eps5_ms3_min3_mean_score,0.6953976270847433,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
2K1V,mcc_rank_fraction_eps5_ms3_min3_mean_score_sqrt_size,0.6953976270847433,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
2K1V,mcc_rank_fraction_eps6_ms3_min3_mean_score,0.6953976270847433,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
2K1V,mcc_rank_fraction_eps6_ms3_min3_mean_score_sqrt_size,0.6953976270847433,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
2K1V,mcc_rank_fraction_eps7_ms3_min3_mean_score,0.6953976270847433,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
2K1V,mcc_rank_fraction_eps7_ms3_min3_mean_score_sqrt_size,0.6953976270847433,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
2K1V,mcc_rank_chain_fraction_eps5_ms3_min3_mean_score,0.09999999999999998,0.0,0.0,0.0,0.0,1.0
2K1V,mcc_rank_chain_fraction_eps5_ms3_min3_mean_score_sqrt_size,0.09999999999999998,0.0,0.0,0.0,0.0,1.0
2K1V,mcc_rank_chain_fraction_eps6_ms3_min3_mean_score,0.1063362460652848,0.07407407407407407,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.3333333333333333
2K1V,mcc_rank_chain_fraction_eps6_ms3_min3_mean_score_sqrt_size,0.1063362460652848,0.07407407407407407,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.3333333333333333
2K1V,mcc_rank_chain_fraction_eps7_ms3_min3_mean_score,0.1063362460652848,0.07407407407407407,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.3333333333333333
