#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)","Time Remaining"
38.6%,4825000,9650.000001048464,-2681104.1500383504,299.42852048276154,1.011912407810898,182,2:01:32
38.8%,4850000,9700.00000105865,-2686251.655517062,300.9155423057223,1.013677246107614,182,2:01:08
39.0%,4875000,9750.000001068836,-2685588.036157664,300.6140203306617,1.0128496381019,182,2:00:44
39.2%,4900000,9800.000001079023,-2684042.6900608223,300.0645037403388,1.0138895496564613,182,2:00:20
39.4%,4925000,9850.000001089209,-2685338.9153109845,299.6885869709063,1.0133562186399976,182,1:59:57
39.6%,4950000,9900.000001099395,-2683677.7021890283,300.6232213011104,1.0131111223592928,182,1:59:33
39.8%,4975000,9950.000001109582,-2682187.80657948,300.96180416363205,1.0120725148911431,182,1:59:09
40.0%,5000000,10000.000001119768,-2686527.1821077,301.2916521146593,1.0142045368663508,182,1:58:46
40.2%,5025000,10050.000001129954,-2686960.842428487,300.94715482063924,1.0140958552014843,182,1:58:22
40.4%,5050000,10100.00000114014,-2685755.87168807,300.4170182049926,1.0152488115911338,182,1:57:58
40.6%,5075000,10150.000001150327,-2686078.1197486594,298.54644369549476,1.0125139022295486,182,1:57:35
40.8%,5100000,10200.000001160513,-2686216.764634108,301.4427783857876,1.0135934344404811,182,1:57:11
41.0%,5125000,10250.0000011707,-2683531.553539293,300.1524512110498,1.0115431438873426,182,1:56:46
41.2%,5150000,10300.000001180886,-2683592.7475241497,300.02361894843773,1.0110911832933374,182,1:56:23
41.4%,5175000,10350.000001191072,-2682921.8932283185,299.32986648067947,1.0119937403006054,182,1:55:59
41.6%,5200000,10400.000001201259,-2684865.934481688,299.7065603972872,1.0133571527184024,182,1:55:35
41.8%,5225000,10450.000001211445,-2682676.875420101,300.1869057170967,1.0125413307572775,182,1:55:11
42.0%,5250000,10500.000001221631,-2685357.3157307804,299.2105267435127,1.0122775538630704,182,1:54:47
42.2%,5275000,10550.000001231818,-2684700.5344474018,300.10120870441796,1.0137542946729619,182,1:54:24
42.4%,5300000,10600.000001242004,-2684084.79236833,300.51756347986725,1.0108660521556403,182,1:54:00
42.6%,5325000,10650.00000125219,-2686260.706326252,300.8521292509983,1.0125753473917627,182,1:53:36
42.8%,5350000,10700.000001262377,-2685764.3179104384,300.2491858398817,1.012840733557014,182,1:53:13
43.0%,5375000,10750.000001272563,-2684849.4788888004,299.950625911288,1.0122726593112217,182,1:52:49
43.2%,5400000,10800.00000128275,-2683726.9136356227,300.52906358382205,1.0144874194822684,182,1:52:25
43.4%,5425000,10850.000001292936,-2681371.615102615,299.87351207836974,1.0124516304490372,182,1:52:01
43.6%,5450000,10900.000001303122,-2685315.9817744736,300.0113390420476,1.0120781568249608,182,1:51:38
43.8%,5475000,10950.000001313309,-2683642.8709861394,300.20581886071506,1.0126215032882384,182,1:51:14
44.0%,5500000,11000.000001323495,-2681631.477061771,299.91234410991757,1.0121021596649253,182,1:50:50
44.2%,5525000,11050.000001333681,-2685652.958363669,301.2309222991124,1.0131095454553967,182,1:50:27
44.4%,5550000,11100.000001343868,-2685793.7755067665,300.8413193260684,1.0134515076465018,182,1:50:04
44.6%,5575000,11150.000001354054,-2684960.061236454,300.43154628435906,1.0122939662295585,182,1:49:40
