name,official_url,download_date,license,file_path,file_size,sha256,file_type,schema_preview,contains,trust_level,intended_role,warnings,status
BioLiP page: biolip_home.html,https://zhanggroup.org/BioLiP/,2026-05-27T18:53:33Z,Free for academic use (Zhang Lab),data\raw_intake\biolip\biolip_home.html,30.1 KB,9e78a4aa2def69cfbb94153adf00d7c52909eac7635bf04a4e3af69021b1e5ca,HTML,Download links found: [],metadata,OFFICIAL_PAGE,BioLiP ligand-binding residue annotation discovery,"BioLiP labels = ligand-contact residues, NOT cryptic pocket ground truth. Do not use as direct cryptic-pocket supervision without filtering.",ACQUIRED
scPDB page: scpdb_home.html,http://bioinfo-pharma.u-strasbg.fr/scPDB/,2026-05-27T18:53:33Z,Free for academic use (Strasbourg),data\raw_intake\scpdb\scpdb_home.html,6.0 KB,efbb541cb736cb159efe0628db25235478e71355d0c933d57233fe12cfccd1bc,HTML,Entry count hint: 16034 entries,metadata,OFFICIAL_PAGE,scPDB druggable binding site annotation discovery,"scPDB labels = druggable binding sites (proxy, not cryptic-pocket truth). Full archive not downloaded — check license before bulk download.",ACQUIRED
ASD page: asd_home.html,http://mdl.shsmu.edu.cn/ASD/,2026-05-27T18:53:33Z,UNKNOWN — check asd.bidd2.com/about,data\raw_intake\asd\asd_home.html,20.9 KB,612d007d54e967c9038a240bae069aab04933377fcdfbab57b35ef2f98562c7c,HTML,ASD Home Search Advanced HOME MOLECULES PROTEIN MODULATOR FEATURES ALLO-HITtoLEAD ALLO-PPI DUALSTERIC-MODULATORS ALLOSITE-POTENTIAL ALLOSTEROME ALLO-MUTATION ALLO-DRUG ALLO-NETWORK SITE PATHWAY TOOLS ,metadata,OFFICIAL_PAGE,Allosteric site/modulator context for PCNA,ASD is allosteric context only. Not residue-level cryptic-pocket labels unless schema explicitly supports it. Download requires manual license review.,ACQUIRED
ASD page: asd_download.html,http://mdl.shsmu.edu.cn/ASD/module/download/download.jsp,2026-05-27T18:53:33Z,UNKNOWN — check asd.bidd2.com/about,data\raw_intake\asd\asd_download.html,8.4 KB,1269f05e48e7dcc4de7ec1e5ab233ef98cdc5e4a105bf06775e4d8855a2bc3f1,HTML,ASD Download Search Advanced HOME MOLECULES PROTEIN MODULATOR FEATURES ALLO-HITtoLEAD ALLO-PPI DUALSTERIC-MODULATORS ALLOSITE-POTENTIAL ALLOSTEROME ALLO-MUTATION ALLO-DRUG ALLO-NETWORK SITE PATHWAY TO,metadata,OFFICIAL_PAGE,Allosteric site/modulator context for PCNA,ASD is allosteric context only. Not residue-level cryptic-pocket labels unless schema explicitly supports it. Download requires manual license review.,ACQUIRED
PocketMiner PubMed abstract,https://pubmed.ncbi.nlm.nih.gov,2026-05-27T18:53:33Z,UNKNOWN,data\raw_intake\pocketminer\pocketminer_pubmed_abstract.txt,9.3 KB,527a7382c80d88d83b7133412367e0253c557b438a7ab4613c45e66709598394,Text,,literature_metadata,OFFICIAL_API,PocketMiner paper metadata for citation,,ACQUIRED
fpocket GitHub releases,https://github.com/Discngine/fpocket,2026-05-27T18:53:33Z,MIT/Apache — check per repo,data\raw_intake\baseline_tools\fpocket\releases.json,7.4 KB,81c3123074688125567c732fa5e848578dc2203f53d716bb33c4e985fc7c3b5a,JSON,,code|metadata,OFFICIAL_REPO,Voronoi-based open-cavity pocket detector; mandatory baseline,Output: pocket_X.pqr + .pdb files; residue-level scores via pocket_atoms columns. C binary — must compile on Linux/WSL.,ACQUIRED
fpocket README,https://raw.githubusercontent.com/Discngine/fpocket/main/README.md,2026-05-27T18:53:33Z,CHECK_REPO,data\raw_intake\baseline_tools\fpocket\README.md,7.5 KB,68a5fcf00fe341d7b6c71c3a2d430c7fbc287777db5c111a2a70669226020ca0,Markdown,,metadata|code,OFFICIAL_REPO,Voronoi-based open-cavity pocket detector; mandatory baseline,Output: pocket_X.pqr + .pdb files; residue-level scores via pocket_atoms columns. C binary — must compile on Linux/WSL.,ACQUIRED
P2Rank GitHub releases,https://github.com/rdk/p2rank,2026-05-27T18:53:33Z,MIT/Apache — check per repo,data\raw_intake\baseline_tools\p2rank\releases.json,17.8 KB,7d202ef36b7ab60aa0b57d5aaad82eb90c72d9bd9b83b2a4b47145b65c08773d,JSON,,code|metadata,OFFICIAL_REPO,ML-based binding site prediction; second mandatory baseline,"Output: CSV with residue-level scores. JVM-based — requires Java 11+. Output: predictions.csv with columns: rank, score, probability, sas_points, surf_atom_ids.",ACQUIRED
P2Rank README,https://raw.githubusercontent.com/rdk/p2rank/main/README.md,2026-05-27T18:53:33Z,CHECK_REPO,data\raw_intake\baseline_tools\p2rank\README.md,14.8 KB,f56aecb63bec5895b9c2308f74df0ab567563c424b4604cb5b42d07d2aa05fab,Markdown,,metadata|code,OFFICIAL_REPO,ML-based binding site prediction; second mandatory baseline,"Output: CSV with residue-level scores. JVM-based — requires Java 11+. Output: predictions.csv with columns: rank, score, probability, sas_points, surf_atom_ids.",ACQUIRED
PDBbind: pdbbind_home.html,http://www.pdbbind.org.cn,2026-05-27T18:53:33Z,RESTRICTED — registration required for download,data\raw_intake\pdbbind\pdbbind_home.html,218.1 KB,dd9bd52f44033557ab14569552bba11dfb187172171e30684adc3da81e247eb4,HTML,,metadata,OFFICIAL_PAGE,Protein-ligand affinity context only. NOT cryptic-pocket ground truth.,PDBbind requires registration. Do NOT adopt as cryptic-pocket labels. LP-PDBBind (leakage-aware split) preferred for affinity auxiliary task.,ACQUIRED
